Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Alseid of Life's Bounty",1,"Enchantment Creature - Nymph",W,"thb","1",uncommon,w,Not Owned,Non-foil,false,,,"","",79126
"Hero of Iroas",2,"Creature - Human Soldier",W,"bng","17",rare,w,Not Owned,Non-foil,false,,,"","",51715
"Phalanx Leader",2,"Creature - Human Soldier",W,"ths","26",uncommon,w,Not Owned,Non-foil,false,,,"","",50350
"Selfless Spirit",2,"Creature - Spirit Cleric",W,"plist","509",rare,w,Not Owned,Non-foil,false,,,"","",
"Valiant Rescuer",2,"Creature - Human Soldier",W,"iko","36",uncommon,w,Not Owned,Non-foil,false,,,"","",80081
"Vanguard of Brimaz",2,"Creature - Cat Soldier",W,"plist","40",uncommon,w,Not Owned,Non-foil,false,,,"","",
"Danitha Capashen, Paragon",3,"Legendary Creature - Human Knight",W,"dom","12",uncommon,w,Not Owned,Non-foil,false,,,"","",67489
"Fabled Hero",3,"Creature - Human Soldier",W,"ths","12",rare,w,Not Owned,Non-foil,false,,,"","",50430
"Fiendslayer Paladin",3,"Creature - Human Knight",W,"m14","18",rare,w,Owned,Non-foil,false,,,"","",49531
"Frontline Medic",3,"Creature - Human Cleric",W,"clb","693",rare,w,Not Owned,Non-foil,false,,,"","",
"Mavinda, Students' Advocate",3,"Legendary Creature - Bird Advisor",W,"stx","21",mythic,w,Not Owned,Non-foil,false,,,"","",88519
"Prava of the Steel Legion",3,"Legendary Creature - Cat Soldier",W,"cmr","38",uncommon,w,Not Owned,Non-foil,false,,,"partner","",84858
"Archon of Sun's Grace",4,"Creature - Archon",W,"thb","3",rare,w,Not Owned,Non-foil,false,,,"","",79130
"Emeria Angel",4,"Creature - Angel",W,"znc","15",rare,w,Not Owned,Non-foil,false,,,"","",
"Keeper of the Accord",4,"Creature - Human Soldier",W,"cmr","27",rare,w,Not Owned,Non-foil,false,,,"","",84836
"Odric, Lunarch Marshal",4,"Legendary Creature - Human Soldier",W,"cmr","379",rare,w,Not Owned,Non-foil,false,,,"","",85572
"Teshar, Ancestor's Apostle",4,"Legendary Creature - Bird Cleric",W,"nec","90",rare,w,Not Owned,Non-foil,false,,,"","",
"Alharu, Solemn Ritualist",5,"Legendary Creature - Human Monk",W,"cmr","4",uncommon,w,Not Owned,Non-foil,false,,,"partner","",84790
"Ao, the Dawn Sky",5,"Legendary Creature - Dragon Spirit",W,"neo","406",mythic,w,Not Owned,Non-foil,false,,,"","",
"Cataclysmic Gearhulk",5,"Artifact Creature - Construct",W,"c20","80",mythic,w,Not Owned,Non-foil,false,,,"","",
"Sun Titan",6,"Creature - Giant",W,"ncc","210",mythic,w,Not Owned,Non-foil,false,,,"","",
"Radiant, Serra Archangel",7,"Legendary Creature - Angel",W,"cmr","40",uncommon,w,Not Owned,Non-foil,false,,,"partner","",84862
"Defiant Strike",1,"Instant",W,"ktk","7",common,w,Not Owned,Non-foil,false,,,"","",53964
"Ephemerate",1,"Instant",W,"sta","5",rare,w,Owned,Non-foil,false,,,"","",89067
"Glimpse the Sun God",1,"Instant",W,"bng","13",uncommon,w,Not Owned,Non-foil,false,,,"","",51767
"Gods Willing",1,"Instant",W,"sta","7",rare,w,Not Owned,Non-foil,false,,,"","",89071
"Sheltering Light",1,"Instant",W,"xln","35",uncommon,w,Not Owned,Non-foil,false,,,"","",65082
"Swords to Plowshares",1,"Instant",W,"sta","10",rare,w,Not Owned,Non-foil,false,,,"","",89077
"Lapse of Certainty",3,"Instant",W,"fmb1","8",common,w,Not Owned,Non-foil,false,,,"","",
